Name,Description,Link,Unit Cost in €,Quantity,Price in €,Shipping Cost,Total
J7,JST-GH 1x02 vertical,https://www.lcsc.com/product-detail/C161690.html?s_z=n_q_BM02B-GHS-TBT&spm=wm.fly.bg.0.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWX1RQQlheUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlhcUVxWRVJADxALGw%3D%3D,"0,18","5,00","0,91","18,91",
"J8, J9, J10",JST-GH 1x05 Vertical,https://www.lcsc.com/product-detail/C189891.html?s_z=n_q_BM05B-GHS-TBT&spm=wm.fly.bg.0.xh&lcsc_vid=R1daUV0HFlVaAlIERwUNVlUATlNYBAdQQwNcVgFUQFgxVlNeR1FWX1VRRVRfUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRldfUV1WWQkaCgg%3D,"0,30","5,00","1,51","18,91",
J11,JST-GH 1x05 Horizontal,https://www.lcsc.com/product-detail/C189896.html?s_z=n_q_SM05B-GHS-TB,"0,18","5,00","0,89","18,91",
L1,Inductor 7.3x7.3_4.5H 15uH 5A,https://www.lcsc.com/product-detail/C7461222.html?spm=wm.fly.bg.11.xh&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BcVFBQTlFcUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRllfSQwSGg0%3D,"0,88","1,00","0,88","18,91",
Q1,AOD4185 40V 40A,https://www.lcsc.com/product-detail/C5346822.html?s_z=n_q_AOD4185&spm=wm.fly.bg.1.xh&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BcU1ReR1JdVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVBYVl1QWQkaCgg%3D,"0,16","5,00","0,81","18,91",
"R1, R11, R13, R15",SMD Resistor 0603 10k 0.5% tolerance,https://www.lcsc.com/product-detail/C2930027.html?s_z=s_q_t_RESISTOR%252010K%25CE%25A9&spm=wm.fly.bg.1.xh___wm.ssy.tc.0.tz&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BcU1BfR1NYXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,"0,00","100,00","0,10","18,91",
"R2, R3",0603 4.7k 1%,https://www.lcsc.com/product-detail/C99782.html?s_z=n_q_t_0603%25204.7k%25201%2525&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BcUlRSQ1ZfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVhdV1RUQE8GEwkK,"0,00","100,00","0,14","18,91",
"R4,R6,R7,R10",0603 100k 1%,https://www.lcsc.com/product-detail/C2906980.html?s_z=n_q_t_0603%2520100k%25201%2525&spm=wm.fly.bg.1.xh___wm.ssy.tc.0.tz&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BcUlBXRFNYVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slTlhZX1ZIHxUDCw%3D%3D,"0,00","100,00","0,11","18,91",
R5,"0603 24.9k 0,1 tolerance",https://www.lcsc.com/product-detail/C2654014.html?s_z=n_q_0603%252024.9k%25200.5%2525&spm=wm.fly.bg.1.xh&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BcUlJVRFReXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVheUV1eR08GEwkK,"0,09","5,00","0,47","18,91",
R8,0603 40.2k 1%,https://www.lcsc.com/product-detail/C12447.html?s_z=n_q_t_0603%252040.2k%25200%252C1%2525&spm=wm.fly.bg.1.xh___wm.ssy.tc.0.tz&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BcUlxWQVZeXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVdbU1RXQ08GEwkK,"0,00","100,00","0,13","18,91",
